Name,Type,Image_URL
Taj Mahal,heritage,https://upload.wikimedia.org/wikipedia/commons/1/1d/Taj_Mahal_%28Edited%29.jpeg
Great Wall,heritage,https://upload.wikimedia.org/wikipedia/commons/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg
Carnival of Rio,event,https://upload.wikimedia.org/wikipedia/commons/3/37/Carnival_in_Rio_de_Janeiro.jpg
Oktoberfest,event,https://upload.wikimedia.org/wikipedia/commons/4/45/Oktoberfest_2010_opening.jpg
Kabuki,art,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ichikawa_Danjuro_IX_by_Toyohara_Kunichika.jpg
Bharatanatyam,art,https://upload.wikimedia.org/wikipedia/commons/7/7e/Bharatanatyam_Performance_DS.jpg 
